# page 750.000000x9377.000000
y=   80.8-   97.5 x=  668.5-  717.0 h= 16.6  menu
y=  243.0-  328.4 x=  142.8-  607.2 h= 85.4  Change your life
y=  313.8-  399.2 x=   28.9-  721.1 h= 85.4  with a personal session.
y=  434.5-  468.7 x=   78.7-  691.2 h= 34.2  運動が苦手な方に。健康なカラダを手に入れたい方に。
y=  480.5-  514.7 x=   91.2-  678.7 h= 34.2  パーソナルセッションなら、始めやすく続けやすい。
y= 1181.4- 1225.6 x=  191.4-  543.4 h= 44.2  しかも、スタジオ専門の
y= 1226.2- 1278.7 x=  178.8-  571.9 h= 52.5  follow なら間違いない。
y= 1474.3- 1514.7 x=  338.0-  409.4 h= 40.4  Point
y= 1500.0- 1560.0 x=  356.2-  394.4 h= 60.0  01
y= 1605.9- 1639.4 x=   74.6-  701.2 h= 33.5  豊洲駅1c出口から徒歩1分の「豊洲フォレシア」 1Ｆ、
y= 1660.4- 1698.8 x=   76.7-  685.3 h= 38.3  本格パーソナルセッションは、駅近の f ollow で。
y= 1895.4- 1935.8 x=  337.1-  408.6 h= 40.4  Point
y= 1921.2- 1981.2 x=  353.7-  392.0 h= 60.0  02
y= 2030.5- 2064.0 x=   71.6-  687.8 h= 33.5  おひとりやペアでの受講、ご家族とのシェアも可能。
y= 2088.6- 2122.1 x=   74.6-  677.1 h= 33.5  高い専門性レベルを備えたエキスパートが指導。
y= 2145.4- 2183.7 x=   74.6-  683.3 h= 38.3  初心者でも安心、続けるなら高品質の f ollow で。
y= 2385.4- 2425.8 x=  337.1-  408.6 h= 40.4  Point
y= 2411.2- 2471.2 x=  353.7-  392.0 h= 60.0  03
y= 2524.0- 2557.5 x=   71.6-  700.3 h= 33.5  解剖学に基づいた安全かつ効果的な運動指導を実践。
y= 2578.5- 2616.9 x=   71.7-  691.3 h= 38.3  理学療法士監修による上質なプログラムは follow で。
y= 2784.2- 2843.4 x=  233.0-  508.6 h= 59.1  はじめての方限定
y= 2914.4- 3057.6 x=  257.6-  280.8 h=143.2  ,
y= 2917.8- 3061.0 x=  212.4-  664.5 h=143.2  8 800 体験できます
y= 2967.4- 3025.0 x=  414.0-  448.1 h= 57.6  で
y= 2971.3- 3040.5 x=   66.8-  216.5 h= 69.3  （45分） ￥
y= 3044.3- 3139.8 x=  595.7-  627.3 h= 95.5  w
y= 3046.2- 3141.7 x=  573.3-  595.7 h= 95.5  o
y= 3047.4- 3142.9 x=  558.5-  573.3 h= 95.5  l
y= 3048.7- 3144.2 x=  543.6-  558.5 h= 95.5  l
y= 3050.6- 3146.1 x=  521.2-  543.6 h= 95.5  o
y= 3051.9- 3147.4 x=  505.2-  521.2 h= 95.5  f
y= 3055.8- 3151.4 x=  458.6-  474.0 h= 95.5  t
y= 3058.0- 3153.5 x=  432.9-  458.6 h= 95.5  a
y= 3061.1- 3156.6 x=  396.7-  417.3 h= 95.5  s
y= 3062.9- 3158.4 x=  375.2-  396.7 h= 95.5  e
y= 3064.2- 3159.7 x=  359.8-  375.2 h= 95.5  t
y= 3066.3- 3161.9 x=  334.1-  359.8 h= 95.5  a
y= 3067.6- 3163.1 x=  319.2-  334.1 h= 95.5  l
y= 3068.9- 3164.4 x=  304.2-  319.2 h= 95.5  i
y= 3074.0- 3169.5 x=  243.3-  304.2 h= 95.5  P
y= 3077.9- 3178.4 x=  138.2-  227.7 h=100.5  Try
y= 3146.5- 3181.8 x=  100.4-  660.1 h= 35.3  fol l o wのパーソナルセッションをぜひ、ご体感ください。
y= 3213.2- 3252.5 x=  217.3-  492.9 h= 39.3  体験セッションを予約する
y= 3370.5- 3407.3 x=   70.7-  707.7 h= 36.8  マシンピラティスで健康なカラダを手に入れましょう。
y= 3383.8- 3546.0 x=  113.4-  639.6 h=162.2  follow Start
y= 3467.8- 3630.0 x=  131.0-  621.9 h=162.2  Campaign!
y= 3664.2- 3705.3 x=  207.6-  579.9 h= 41.1  体 験と同 時 に ご 入 会 で！
y= 3687.4- 3905.8 x=  414.0-  685.5 h=218.3  無料
y= 3774.2- 3819.5 x=   62.0-  396.9 h= 45.2  入 会 金 （通常11,000円）
y= 3863.9- 4082.3 x=  414.5-  686.0 h=218.3  無料
y= 3952.7- 3998.0 x=   62.5-  417.9 h= 45.2  事務手数料 （通常5,500円）
