# page 750.000000x9353.000000
y=   50.1-   89.7 x=  165.0-  611.6 h= 39.6  まずは体験にご参加ください！
y=  165.2-  224.4 x=  233.0-  508.6 h= 59.1  はじめての方限定
y=  295.4-  438.6 x=  257.6-  280.8 h=143.2  ,
y=  298.8-  442.0 x=  212.4-  664.5 h=143.2  8 800 体験できます
y=  348.4-  406.0 x=  414.0-  448.1 h= 57.6  で
y=  352.3-  421.5 x=   66.8-  216.5 h= 69.3  （45分） ￥
y=  425.3-  520.8 x=  595.7-  627.3 h= 95.5  w
y=  427.2-  522.7 x=  573.3-  595.7 h= 95.5  o
y=  428.4-  523.9 x=  558.5-  573.3 h= 95.5  l
y=  429.7-  525.2 x=  543.6-  558.5 h= 95.5  l
y=  431.6-  527.1 x=  521.2-  543.6 h= 95.5  o
y=  432.9-  528.4 x=  505.2-  521.2 h= 95.5  f
y=  436.8-  532.4 x=  458.6-  474.0 h= 95.5  t
y=  439.0-  534.5 x=  432.9-  458.6 h= 95.5  a
y=  442.1-  537.6 x=  396.7-  417.3 h= 95.5  s
y=  443.9-  539.4 x=  375.2-  396.7 h= 95.5  e
y=  445.2-  540.7 x=  359.8-  375.2 h= 95.5  t
y=  447.3-  542.9 x=  334.1-  359.8 h= 95.5  a
y=  448.6-  544.1 x=  319.2-  334.1 h= 95.5  l
y=  449.9-  545.4 x=  304.2-  319.2 h= 95.5  i
y=  455.0-  559.4 x=  138.2-  304.2 h=104.4  Try P
y=  527.5-  562.8 x=  100.4-  660.1 h= 35.3  fol l o wのパーソナルセッションをぜひ、ご体感ください。
y=  594.2-  633.5 x=  217.3-  492.9 h= 39.3  体験セッションを予約する
y=  752.8-  827.0 x=  310.8-  438.3 h= 74.2  体験フロー
y=  883.1-  957.3 x=  175.9-  539.2 h= 74.2  以下のボタンからWEB 予 約を
y=  918.6-  981.5 x=   67.8-  104.3 h= 62.8  01
y=  925.1-  999.3 x=  173.8-  355.5 h= 74.2  してください。
y= 1067.1- 1097.9 x=  134.1-  392.1 h= 30.8  体験セッションを予約する
y= 1190.4- 1261.8 x=  296.3-  451.9 h= 71.4  ■予約の流れ
y= 1683.2- 1724.7 x=  196.8-  228.3 h= 41.5  01
y= 1683.2- 1724.7 x=  532.8-  564.3 h= 41.5  02
y= 1737.2- 1800.0 x=   75.4-  346.5 h= 62.8  まずはセッション予約ページ
y= 1737.2- 1800.0 x=  385.6-  707.6 h= 62.8  授業項目の右上♥マークがあるク
y= 1775.2- 1838.0 x=   76.1-  279.6 h= 62.8  へ移行してください。
y= 1775.2- 1838.0 x=  384.0-  706.4 h= 62.8  ラスからお好みのセッションをお
y= 1813.2- 1876.0 x=  385.6-  706.0 h= 62.8  選びください。 ※はじめての方は
y= 1851.2- 1914.0 x=  385.6-  714.9 h= 62.8  体験セッションの受講が必須です。
y= 2369.2- 2410.7 x=  131.9-  163.3 h= 41.5  03
y= 2369.6- 2411.0 x=  359.9-  391.4 h= 41.5  04
y= 2369.6- 2411.0 x=  599.3-  630.8 h= 41.5  05
y= 2412.1- 2474.9 x=  514.0-  713.9 h= 62.8  支払い方法から
y= 2412.1- 2474.9 x=  277.0-  476.9 h= 62.8  会員情報の必須項
y= 2414.1- 2477.0 x=   36.7-  240.0 h= 62.8  トライアル予約（体験
y= 2450.1- 2512.9 x=  513.7-  735.6 h= 62.8  カード登録を行い、
y= 2450.1- 2512.9 x=  276.7-  476.6 h= 62.8  目を全て記載し、次
y= 2452.1- 2515.0 x=   39.8-  241.4 h= 62.8  セッションのこと）を
y= 2488.1- 2550.9 x=  513.4-  625.6 h= 62.8  完了です。
y= 2488.1- 2550.9 x=  276.5-  476.3 h= 62.8  へをクリックして
y= 2490.1- 2553.0 x=   40.0-  242.3 h= 62.8  選択し、次へをクリッ
y= 2526.1- 2588.9 x=  276.2-  388.4 h= 62.8  ください。
y= 2528.1- 2590.9 x=   39.4-  197.0 h= 62.8  クしてください。
y= 2809.1- 2883.3 x=  180.8-  636.6 h= 74.2  セッション1 5 分 前にご来 店ください。
y= 2837.7- 2900.5 x=   75.8-  112.3 h= 62.8  02
